Product Name,Price
"Lenovo IdeaPad Slim 3 15AMN8 R3-7320U/8GB/128 15.6"" bärbar dator",3990
"Lenovo IdeaPad 1i 14IJL7 Celeron-N4500/4GB/128/TN 14""  bärbar dator",2799
"HP OmniBook 5 16 Snap-8C/16/512/OLED 16"" Copilot  PC",7995
"Lenovo Yoga Slim 7i 14IMH9 Ultra 5-125H/16GB/512/OLED 14"" bärbar dator",7990
"HP OmniBook 5 14 Snap-8C/16/512/OLED 14"" Copilot  PC",7995
"HP OmniBook 5 14 Snap-8C/32/1024/OLED 14"" Copilot  PC",8995
"HP Laptop 14-ep0849no i7-1355U/16/1024 14"" laptop",6490
Samsung Galaxy Book4 Edge 14 Snap-12C/16/512/AMOLED Copilot  PC,11990
"ASUS ProArt P16 AI 9-HX370/64/2048/5070/OLED 16"" Copilot  PC",38999
"ASUS Zenbook 14 UM3406 AI 7-350/32/1024/OLED 14"" Copilot  PC",15990
"Samsung Galaxy Book4 Edge X1P/16/256 15.6"" Copilot  PC",5990
"HP OmniBook 5 16 Snap-8C/32/1024/OLED 16"" Copilot  PC",8995
"HP Laptop 15-fc0828no R5-7520U/16/512 15.6"" bärbar dator",5490
"ASUS Chromebook CX1505 N4500/4/64/IPS 15.6"" bärbar dator",2290
"Lenovo LOQ 15IAX9 i5-12HX/24/512/3050 15.6"" bärbar dator gaming",8490
Lenovo Legion 5 15IRX10 i7-13650HX/24GB/1TB/5070 15” bärbar dator gaming,15490
Lenovo Legion 5 15AHP10 R7-260/16GB/512/5060 15” bärbar dator gaming,12490
"HP OMEN 16 R-AI7/16/1TB/RTX5060 16"" bärbar dator gaming",18490
"ASUS V16 Core5-210/16/1TB/RTX5050 16"" bärbar dator för gaming",11490
"ASUS Chromebook Plus CX1505 Core3-N355/8/128/IPS 15.6"" bärbar dator",3790
"ASUS Chromebook CX1505 N4500/8/128/IPS 15.6"" bärbar dator",3195
"MSI Katana A15 AI R7-8HS/16/512/4060 15.6"" bärbar dator gaming",10996
Lenovo LOQ 15IRX9 i5 - 13HX/24/512/4050 16” bärbar dator för gaming,10990
"Samsung Galaxy Book5 Pro U7-258V/32/512 14"" Copilot  PC",14995
"Acer Predator Helios Neo 16 i9-14X/16/1TB/4070/240Hz 16"" bärbar dator för gaming",19989
"Lenovo Yoga 7 14AKP10 AI 7-350/32GB/1024/OLED 14"" Copilot  PC ( penna)",13995
"Samsung Galaxy Book4 Core3-100U/8/256/IPS 15.6"" bärbar dator (grå)",6995
"Lenovo Yoga 7 14AKP10 AI 5-340/16GB/512/OLED 14"" Copilot  PC ( pen)",11990
"Lenovo IdeaPad Slim 3i 15IRU10 Core3-100U/8GB/128 15.3"" bärbar dator",5995
"Lenovo Legion 5 15AKP10 R7-350/24GB/1TB/5070 15"" bärbar dator gaming",19990
"HP OmniBook 3 14"" AI 5 340/24/1024 Copilot  PC",9995
"Lenovo Yoga Slim 7 AI 7-350/32GB/512/OLED 14"" Copilot  PC",12995
"ASUS Vivobook S 14 S3407 Snap-8CSE/16/512/OLED 14"" Copilot  PC",9995
"ASUS Vivobook S 16 S3607 Snap-8CSE/16/512/OLED 16"" Copilot  PC",9995
"HP ProBook 4 G1q Snap-8C/16/256 14"" bärbar dator",12995
"Acer Chromebook Plus 516 i3-1315U/8/128/IPS 16"" bärbar dator",5495
"Lenovo LOQ 15IRX10 i5-13HX/24/1TB/5050 15.6"" bärbar dator gaming (Luna Grey)",13990
"Asus ExpertBook P1 i5-13420H/16/256 14"" bärbar dator",7995
"HP OmniBook X Flip 14 Ultra 7-258V/32/512/OLED 14"" Copilot  PC",13995
"Asus ExpertBook P1 i5-13420H/32/1024 14"" bärbar dator",9995
"Acer Chromebook Plus 514 i5-1334U/8/512/IPS 14"" bärbar dator",6995
"Lenovo Legion 5 15AKP10 R7-350/24GB/1TB/5060 15"" bärbar dator gaming",18490
